Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
586,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,9,40,99,7.8
587,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,9,40,99,10.3
588,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,9,40,99,15.2
589,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,10.5,40,99,21.4
590,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,10.5,40,99,25.6
591,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,10.5,40,99,19.2
592,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,12,40,99,20.3
593,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,12,40,99,17.5
594,geopolymer,nano-CaCO3,50.81,22.31,6.43,8.67,1.42,1.46,0,0,70,20,12,40,99,15.2
595,paste,nano-Al2O3,29.32,12.96,15.64,25.79,2.94,,0,0,23,23,0,13,99.38,29.6
596,paste,nano-Al2O3,29.32,12.96,15.64,25.79,2.94,,0,0,23,23,1,13,99.38,36.2
597,paste,nano-Al2O3,29.32,12.96,15.64,25.79,2.94,,0,0,23,23,2,13,99.38,37.1
598,paste,nano-Al2O3,29.32,12.96,15.64,25.79,2.94,,0,0,23,23,3,13,99.38,31.4
599,mortar,Nano-TiO2,48.325,26.53,0.975,17.885,3.015,0.565,0,1950,20,20,0,13,99.55,63.49
600,mortar,Nano-TiO2,48.325,26.53,0.975,17.885,3.015,0.565,0,1950,20,20,10,13,99.55,65.71
601,mortar,Nano-TiO2,48.325,26.53,0.975,17.885,3.015,0.565,0,1950,20,20,20,13,99.55,66.03
602,mortar,Nano-Al2O3,48.325,26.53,0.975,17.885,3.015,0.565,0,1950,20,20,10,18,99.5,66.35
603,mortar,Nano-Al2O3,48.325,26.53,0.975,17.885,3.015,0.565,0,1950,20,20,20,18,99.5,66.67
604,paste,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,23,0,30,97.5,19.98
605,paste,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,23,1,30,97.5,25.22
606,paste,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,23,2,30,97.5,29.52
607,paste,nano-CaCO3,62.3,26.7,2.98,2.61,0.66,1.42,0,0,80,23,3,30,97.5,34.31
608,concrete,nano-CaO,69.1,12.13,1.58,2.53,0.25,,,,90,23,0,100,,26.5
609,concrete,nano-CaO,69.1,12.13,1.58,2.53,0.25,,,,90,23,5,100,,24.64
610,concrete,nano-CaO,69.1,12.13,1.58,2.53,0.25,,,,90,23,10,100,,22.43
611,concrete,nano-CaO,69.1,12.13,1.58,2.53,0.25,,,,90,23,15,100,,26.4
612,concrete,Nano-Al2O3,69.1,12.13,1.58,2.53,0.25,,,,90,23,5,78,,29.99
613,concrete,Nano-Al2O3,69.1,12.13,1.58,2.53,0.25,,,,90,23,10,78,,31.13
614,concrete,Nano-Al2O3,69.1,12.13,1.58,2.53,0.25,,,,90,23,15,78,,31.2
615,concrete,Nano-Al2O3,28.17,8.6,0.42,47.75,3.89,0.2,703.3,819.5,23,23,0,25,99.9,59.3
616,concrete,Nano-Al2O3,28.17,8.6,0.42,47.75,3.89,0.2,702.6,818.7,23,23,25,25,99.9,59.7
617,concrete,Nano-Al2O3,28.17,8.6,0.42,47.75,3.89,0.2,701.9,817.9,23,23,50,25,99.9,60.8
618,concrete,Nano-Al2O3,28.17,8.6,0.42,47.75,3.89,0.2,701.3,817.1,23,23,75,25,99.9,73.6
619,concrete,Nano-Al2O3,38.3,12.875,6.19,31.615,2.62,0.835,700.6,816.3,23,23,0,25,99.9,52.2
620,concrete,Nano-Al2O3,38.3,12.875,6.19,31.615,2.62,0.835,643.9,750.2,23,23,25,25,99.9,68.1
621,concrete,Nano-Al2O3,38.3,12.875,6.19,31.615,2.62,0.835,643.8,750.2,23,23,50,25,99.9,69
622,concrete,Nano-Al2O3,38.3,12.875,6.19,31.615,2.62,0.835,643.7,750.1,23,23,75,25,99.9,69.5
